127.0.0.1 - - [12/Aug/2018:13:45:13 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:45:16 +0530] "GET /kkplumbingAnDharware/homepage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:45:16 +0530] "GET /kkplumbingAnDharware/WEB-INF/boot.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:45:16 +0530] "GET /kkplumbingAnDharware/WEB-INF/jquer.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:45:16 +0530] "GET /kkplumbingAnDharware/WEB-INF/javas.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:45:16 +0530] "GET /kkplumbingAnDharware/WEB-INF/jquer.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:45:16 +0530] "GET /kkplumbingAnDharware/WEB-INF/boot.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:45:16 +0530] "GET /kkplumbingAnDharware/WEB-INF/javas.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:45:16 +0530] "GET /kkplumbingAnDharware/images/interior1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:45:16 +0530] "GET /kkplumbingAnDharware/images/demo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:45:16 +0530] "GET /kkplumbingAnDharware/images/pipedemo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:45:57 +0530] "GET /kkplumbingAnDharware/homepage.html HTTP/1.1" 200 4024
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:45:57 +0530] "GET /kkplumbingAnDharware/WEB-INF/jquer.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:45:57 +0530] "GET /kkplumbingAnDharware/WEB-INF/boot.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:45:57 +0530] "GET /kkplumbingAnDharware/images/demo.jpg HTTP/1.1" 200 263938
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:45:57 +0530] "GET /kkplumbingAnDharware/WEB-INF/javas.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:45:57 +0530] "GET /kkplumbingAnDharware/images/interior1.jpg HTTP/1.1" 200 157979
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:45:57 +0530] "GET /kkplumbingAnDharware/images/pipedemo.jpg HTTP/1.1" 200 91229
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:45:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:49:53 +0530] "GET /kkplumbingAnDharware/WEB-INF/boot.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:49:53 +0530] "GET /kkplumbingAnDharware/WEB-INF/jquer.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:49:53 +0530] "GET /kkplumbingAnDharware/WEB-INF/javas.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:50:03 +0530] "GET /kkplumbingAnDharware/homepage.html HTTP/1.1" 200 4225
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:50:03 +0530] "GET /kkplumbingAnDharware/WEB-INF/jquer.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:50:03 +0530] "GET /kkplumbingAnDharware/WEB-INF/boot.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:50:03 +0530] "GET /kkplumbingAnDharware/WEB-INF/javas.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:52:15 +0530] "GET /kkplumbingAnDharware/homepage.html HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:52:15 +0530] "GET /kkplumbingAnDharware/WEB-INF/boot.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:52:15 +0530] "GET /kkplumbingAnDharware/WEB-INF/javas.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:52:15 +0530] "GET /kkplumbingAnDharware/WEB-INF/jquer.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:52:15 +0530] "GET /kkplumbingAnDharware/WEB-INF/javas.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:52:44 +0530] "GET /kkplumbingAnDharware/homepage.html HTTP/1.1" 200 4242
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:52:44 +0530] "GET /kkplumbingAnDharware/WEB-INF/boot.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:52:44 +0530] "GET /kkplumbingAnDharware/WEB-INF/jquer.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:52:44 +0530] "GET /kkplumbingAnDharware/WEB-INF/javas.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:52:44 +0530] "GET /kkplumbingAnDharware/images/interior1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2018:13:52:44 +0530] "GET /kkplumbingAnDharware/images/demo.jpg HTTP/1.1" 304 -
